year,selling_price,km_driven,fuel,seller_type,transmission,owner,brands,models
2007,60000.0,70000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti 800 AC
2007,135000.0,50000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Wagon R
2012,600000.0,100000.0,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Verna 1.6
2017,250000.0,46000.0,Petrol,Individual,Manual,First Owner,Datsun,Other
2014,450000.0,141000.0,Diesel,Individual,Manual,Second Owner,Honda,Other
2007,140000.0,125000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LX
2016,550000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2014,240000.0,60000.0,Petrol,Individual,Manual,Second Owner,Tata,Other
2015,850000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2017,365000.0,78000.0,CNG,Individual,Manual,First Owner,Maruti,Other
2015,260000.0,35000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Other
2014,250000.0,100000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2018,1650000.0,25000.0,Petrol,Dealer,Automatic,First Owner,Toyota,Other
2015,585000.0,24000.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2019,1195000.0,5000.0,Diesel,Dealer,Manual,First Owner,Hyundai,Other
2013,390000.0,33000.0,Diesel,Individual,Manual,Second Owner,Chevrolet,Other
2014,1964999.0,28000.0,Diesel,Dealer,Automatic,First Owner,Others,Other
2013,1425000.0,59000.0,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,Other
2018,975000.0,4500.0,Diesel,Dealer,Automatic,First Owner,Maruti,Other
2011,1190000.0,175900.0,Diesel,Dealer,Automatic,First Owner,Audi,Other
2018,930000.0,14500.0,Petrol,Dealer,Manual,First Owner,Honda,Other
2018,525000.0,15000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2013,1735000.0,50000.0,Diesel,Dealer,Automatic,First Owner,Audi,Other
2012,1375000.0,33800.0,Diesel,Dealer,Automatic,Second Owner,Mercedes-Benz,Other
2011,450000.0,130400.0,Diesel,Dealer,Automatic,Second Owner,Skoda,Other
2016,900000.0,50000.0,Petrol,Individual,Automatic,First Owner,Toyota,Other
2015,1300000.0,80000.0,Diesel,Individual,Manual,First Owner,Toyota,Toyota Innova 2.5
2019,1400000.0,10000.0,Petrol,Individual,Manual,First Owner,Others,Other
2010,850000.0,119000.0,Petrol,Dealer,Automatic,First Owner,Mercedes-Benz,Other
2014,229999.0,60000.0,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,Other
2013,1550000.0,75800.0,Diesel,Dealer,Automatic,Second Owner,BMW,Other
2009,1250000.0,78000.0,Diesel,Dealer,Automatic,Third Owner,Audi,Other
2012,625000.0,40000.0,Diesel,Individual,Manual,First Owner,Hyundai,Other
2014,1050000.0,50000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2014,560000.0,74000.0,Diesel,Individual,Manual,Second Owner,Honda,Other
2014,290000.0,64000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2012,275000.0,60000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2009,411000.0,120000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2009,150000.0,79000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Hyundai Santro Xing
2019,500000.0,15000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
2006,100000.0,80000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LXi
2017,725000.0,18500.0,Diesel,Dealer,Manual,First Owner,Maruti,Maruti Swift Dzire
2018,401000.0,10200.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2018,750000.0,29000.0,Diesel,Dealer,Manual,First Owner,Hyundai,Other
2018,310000.0,28000.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2016,665000.0,46000.0,Diesel,Dealer,Manual,First Owner,Maruti,Other
2014,465000.0,70000.0,Diesel,Dealer,Manual,First Owner,Hyundai,Other
2012,160000.0,60000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LXi
1996,250000.0,35000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2014,675000.0,90000.0,Diesel,Dealer,Manual,First Owner,Honda,Other
2013,300000.0,80000.0,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Wagon R
2005,70000.0,80000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2014,240000.0,73300.0,Petrol,Dealer,Manual,Second Owner,Hyundai,Other
2014,525000.0,92000.0,Diesel,Dealer,Manual,First Owner,Toyota,Other
2009,151000.0,66764.0,Petrol,Dealer,Manual,Second Owner,Maruti,Maruti Alto LXi
2009,140000.0,100000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LXi
2010,280000.0,223158.4,Diesel,Individual,Manual,Second Owner,Chevrolet,Other
2011,350000.0,223158.4,Diesel,Individual,Manual,First Owner,Toyota,Other
2017,570000.0,60000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2018,300000.0,31000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2007,100000.0,39000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2009,500000.0,120000.0,Diesel,Individual,Manual,Third Owner,Toyota,Toyota Innova 2.5
2014,125000.0,166000.0,Diesel,Individual,Manual,Fourth & Above Owner,Tata,Tata Indica Vista
2006,130000.0,110000.0,Petrol,Individual,Manual,Third Owner,Maruti,Other
2017,925000.0,35000.0,Diesel,Individual,Manual,First Owner,Ford,Ford EcoSport 1.5
2018,750000.0,60000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2007,200000.0,54000.0,Petrol,Individual,Automatic,Second Owner,Honda,Other
2010,248000.0,63000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Other
2014,450000.0,120000.0,Diesel,Individual,Manual,Second Owner,Skoda,Other
2005,80000.0,120000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Other
2014,650000.0,76000.0,Petrol,Individual,Manual,Second Owner,Nissan,Other
2015,450000.0,80000.0,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
2019,650000.0,25000.0,Diesel,Individual,Manual,First Owner,Hyundai,Other
2016,495000.0,11958.0,Petrol,Dealer,Manual,First Owner,Honda,Other
2015,371000.0,20000.0,Petrol,Dealer,Manual,First Owner,Honda,Other
