year,selling_price,km_driven,fuel,seller_type,transmission,owner,brands
2016,620000.0,70000.0,1,1,1,0,9
2012,350000.0,110000.0,1,1,1,2,13
2018,850000.0,50000.0,1,1,1,0,9
2009,420000.0,223158.4,1,0,1,0,16
2011,300000.0,135000.0,1,1,1,2,16
2007,100000.0,100000.0,4,1,1,2,9
2013,182000.0,100000.0,1,1,1,0,15
2019,1200000.0,1200.0,4,1,1,0,7
2015,700000.0,55000.0,1,0,1,0,9
2014,625000.0,68000.0,1,0,1,0,8
2019,715000.0,8000.0,4,1,1,0,15
2012,225000.0,48000.0,4,0,1,0,7
2011,280000.0,120000.0,1,1,1,2,9
2005,71000.0,22000.0,4,1,1,0,7
2012,320000.0,80000.0,1,1,1,2,9
2007,229999.0,70000.0,4,1,1,2,6
2015,850000.0,55000.0,1,1,1,0,8
2017,355000.0,40000.0,4,1,0,0,13
2014,600000.0,20000.0,4,1,1,0,9
2008,120000.0,100000.0,4,1,1,4,2
